bin_left_inclusive,bin_right_exclusive,events
59,67,2
67,77,0
77,88,0
88,100,0
100,114,0
114,130,3
130,149,20
149,170,49
170,194,67
194,221,80
221,252,81
252,288,91
288,328,86
328,374,106
374,427,93
427,488,72
488,556,54
556,635,39
635,724,39
724,827,31
827,943,24
943,1076,19
1076,1228,13
1228,1401,13
1401,1599,4
1599,1825,5
1825,2082,1
2082,2376,5
2376,2711,1
2711,3094,0
3094,3531,0
3531,4029,0
4029,4597,0
4597,5246,1
5246,5987,1
