mae_x_cm,mae_z_cm,mae_radius_cm,median_radius_cm,p90_radius_cm,rmse_radius_cm,bias_x_cm,bias_z_cm,k,metric,normalization,weighting,virtual_quadrants,training_events,reference_events,test_events
0.7466025573946542,0.7704607725775229,1.2301128315774625,0.952246736965036,2.488254959427749,1.5759536214569976,-0.05623796806443952,-0.007012325620027145,8,euclidean,l1,inverse2,False,10000,10000,1000
0.7549059384983557,0.7683620822007772,1.2399483712308128,0.954197096653683,2.547305798921021,1.6003593329874326,-0.04747212756456504,0.00435910002703263,5,euclidean,l1,inverse2,False,10000,10000,1000
0.753651347791762,0.7910214115342492,1.2515285288145046,0.9735509322379952,2.499237015090957,1.6001246918785927,-0.056131825872759514,-0.013847798181259134,12,euclidean,l1,inverse2,False,10000,10000,1000
0.7628400346366477,0.7897751500834654,1.2555439230236434,0.9832680921646895,2.565622905203312,1.59985537309335,-0.060477240151625075,-0.011645457176169886,8,euclidean,l1,inverse,False,10000,10000,1000
0.764544793302864,0.7784462359142934,1.2561433823366641,0.9608205858190888,2.5881786206430966,1.6125034889584837,-0.049308214455497594,0.0016885855989291212,5,euclidean,l1,inverse,False,10000,10000,1000
0.779363398,0.7962491260000001,1.2796871958486802,0.9746275254011413,2.63273430735607,1.6344260495880771,-0.051104751999999844,-0.0012076019999999854,5,euclidean,l1,uniform,False,10000,10000,1000
0.7695937677339239,0.8107941817726857,1.2818580918752178,0.9716321423870699,2.575666445252314,1.638832186623917,-0.06265432350916689,-0.0206652046696592,16,euclidean,l1,inverse2,False,10000,10000,1000
0.7770818638828527,0.8110969543816097,1.28620033153665,0.9697999937220554,2.6066588537133897,1.6917459240537687,-0.04583259035052253,0.006043368732234107,3,euclidean,l1,inverse2,False,10000,10000,1000
0.7651156105765909,0.8211068291122069,1.2879425906445752,0.9440568786275922,2.7800383904234347,1.6818489239964876,-0.043003470471560334,-0.011648882968239687,16,euclidean,sqrt_l1,inverse2,False,10000,10000,1000
0.7840705020000001,0.8139127060000001,1.288403543654957,1.0134554550379251,2.6093012247448666,1.6347066680362226,-0.06492975199999997,-0.01583260199999996,8,euclidean,l1,uniform,False,10000,10000,1000
0.7762017163172193,0.8201043862395675,1.289760412430576,0.994822519672554,2.59433191012874,1.6412684227039505,-0.06080225579141737,-0.0185790480060531,12,euclidean,l1,inverse,False,10000,10000,1000
