position_id,x_cm,z_cm,target_x_cm,target_z_cm
1326,26.5,26.5,26.5625,26.5625
1329,29.5,26.5,29.6875,26.5625
1332,32.5,26.5,32.8125,26.5625
1335,35.5,26.5,35.9375,26.5625
1339,39.5,26.5,39.0625,26.5625
1342,42.5,26.5,42.1875,26.5625
1345,45.5,26.5,45.3125,26.5625
1348,48.5,26.5,48.4375,26.5625
1451,1.5,29.5,1.5625,29.6875
1454,4.5,29.5,4.6875,29.6875
1457,7.5,29.5,7.8125,29.6875
1460,10.5,29.5,10.9375,29.6875
1464,14.5,29.5,14.0625,29.6875
1467,17.5,29.5,17.1875,29.6875
1470,20.5,29.5,20.3125,29.6875
1473,23.5,29.5,23.4375,29.6875
1476,26.5,29.5,26.5625,29.6875
1479,29.5,29.5,29.6875,29.6875
1482,32.5,29.5,32.8125,29.6875
1485,35.5,29.5,35.9375,29.6875
1489,39.5,29.5,39.0625,29.6875
1492,42.5,29.5,42.1875,29.6875
1495,45.5,29.5,45.3125,29.6875
1498,48.5,29.5,48.4375,29.6875
1601,1.5,32.5,1.5625,32.8125
1604,4.5,32.5,4.6875,32.8125
1607,7.5,32.5,7.8125,32.8125
1610,10.5,32.5,10.9375,32.8125
1614,14.5,32.5,14.0625,32.8125
1617,17.5,32.5,17.1875,32.8125
1620,20.5,32.5,20.3125,32.8125
1623,23.5,32.5,23.4375,32.8125
1626,26.5,32.5,26.5625,32.8125
1629,29.5,32.5,29.6875,32.8125
1632,32.5,32.5,32.8125,32.8125
1635,35.5,32.5,35.9375,32.8125
1639,39.5,32.5,39.0625,32.8125
1642,42.5,32.5,42.1875,32.8125
1645,45.5,32.5,45.3125,32.8125
1648,48.5,32.5,48.4375,32.8125
1751,1.5,35.5,1.5625,35.9375
1754,4.5,35.5,4.6875,35.9375
1757,7.5,35.5,7.8125,35.9375
1760,10.5,35.5,10.9375,35.9375
1764,14.5,35.5,14.0625,35.9375
1767,17.5,35.5,17.1875,35.9375
1770,20.5,35.5,20.3125,35.9375
1773,23.5,35.5,23.4375,35.9375
1776,26.5,35.5,26.5625,35.9375
1779,29.5,35.5,29.6875,35.9375
1782,32.5,35.5,32.8125,35.9375
1785,35.5,35.5,35.9375,35.9375
1789,39.5,35.5,39.0625,35.9375
1792,42.5,35.5,42.1875,35.9375
1795,45.5,35.5,45.3125,35.9375
1798,48.5,35.5,48.4375,35.9375
1951,1.5,39.5,1.5625,39.0625
1954,4.5,39.5,4.6875,39.0625
1957,7.5,39.5,7.8125,39.0625
1960,10.5,39.5,10.9375,39.0625
1964,14.5,39.5,14.0625,39.0625
1967,17.5,39.5,17.1875,39.0625
1970,20.5,39.5,20.3125,39.0625
1973,23.5,39.5,23.4375,39.0625
1976,26.5,39.5,26.5625,39.0625
1979,29.5,39.5,29.6875,39.0625
1982,32.5,39.5,32.8125,39.0625
1985,35.5,39.5,35.9375,39.0625
1989,39.5,39.5,39.0625,39.0625
1992,42.5,39.5,42.1875,39.0625
1995,45.5,39.5,45.3125,39.0625
1998,48.5,39.5,48.4375,39.0625
2101,1.5,42.5,1.5625,42.1875
2104,4.5,42.5,4.6875,42.1875
2107,7.5,42.5,7.8125,42.1875
2110,10.5,42.5,10.9375,42.1875
2114,14.5,42.5,14.0625,42.1875
2117,17.5,42.5,17.1875,42.1875
2120,20.5,42.5,20.3125,42.1875
2123,23.5,42.5,23.4375,42.1875
2126,26.5,42.5,26.5625,42.1875
2129,29.5,42.5,29.6875,42.1875
2132,32.5,42.5,32.8125,42.1875
2135,35.5,42.5,35.9375,42.1875
2139,39.5,42.5,39.0625,42.1875
2142,42.5,42.5,42.1875,42.1875
2145,45.5,42.5,45.3125,42.1875
2148,48.5,42.5,48.4375,42.1875
2251,1.5,45.5,1.5625,45.3125
2254,4.5,45.5,4.6875,45.3125
2257,7.5,45.5,7.8125,45.3125
2260,10.5,45.5,10.9375,45.3125
