readout_label,readout_axis,n_readout_channels,k,metric,normalization,weighting,mean_err_r_cm,median_err_r_cm,p68_err_r_cm,p95_err_r_cm,mean_err_x_cm,sigma_err_x_cm,mean_err_z_cm,sigma_err_z_cm
all four sides,all,64,16,euclidean,l1,inverse,1.8899357496294689,1.6204313637576888,2.211597170291912,4.4245639044323335,0.1740468096236958,1.580596972585716,0.2857477686076276,1.5834643808208213
+x/-x sides only,x,32,32,euclidean,l1,inverse2,3.687404755733376,3.223824596830106,4.367721734267861,8.491413439550968,1.457662227224347,3.70087436905392,-0.0836561200134444,1.951805859006366
+z/-z sides only,z,32,32,euclidean,l1,inverse,3.581389633617577,3.134346283739124,4.178909281222633,7.990616855257699,-0.1814481598647591,1.915195245311377,1.4350581719465303,3.560542274616494
