x, y
1.7793888529601976, -0.03430963141844001
5.369216297254395, -0.037230412393274515
9.388963195955084, -0.041086606882925314
13.391991004762186, -0.0412106923491764
19.496847257334352, -0.0444178243999751
25.589761302839673, -0.05010666577579659
28.900141101769652, -0.05136661051003899
28.900141101769652, -0.05136661051003899
40.166419248633076, -0.06368925181236362
34.075893644541125, -0.05814358597452429
40.166419248633076, -0.06368925181236362
44.042859662531605, -0.07231796423475056
50.41283291198777, -0.08523239776073455
49.416852842612734, -0.08308476469100323
52.63169498500794, -0.09632372943641332
56.59173084837439, -0.10605966601919503
59.23334705156094, -0.11773324488266756
64.37327297313188, -0.13713830279717276
64.37327297313188, -0.13713830279717276
67.40420512669763, -0.15576066777070907
69.34361955435358, -0.16911417294650477
71.88014433535187, -0.18179952561171742
75.52012904932683, -0.1996678327518815
78.05665383032513, -0.21968377296177688
79.65690957728262, -0.24251549875198652
82.15283085425364, -0.259725198417433
85.06911781997766, -0.2753122419857492
87.71312246457758, -0.2914242625266664
89.38264301252279, -0.3105906945445347
92.16517725909813, -0.32618728314871637
94.66109853606915, -0.34564006624254884
96.64111646775237, -0.36109347930874847
98.15777676524193, -0.3821880085714422
99.95866159092246, -0.39486381620078936
101.94106796401906, -0.41032677430285447
104.27696366629432, -0.4267919611707941
105.55716826386032, -0.44000229080860764
109.58169204538774, -0.46390306061575026
108.49495120230466, -0.4587678313201261
108.49495120230466, -0.4587678313201261
112.55052472220589, -0.48918786062338626
112.55052472220589, -0.48918786062338626
115.87762361102946, -0.5136231524389953
115.87762361102946, -0.5136231524389953
118.52401669704275, -0.5303365102394372
121.30416250220472, -0.546925782573628
123.71648832970781, -0.5614819622684732
126.09059909459698, -0.5781285048178568
129.14302722088306, -0.59698949568803
129.14302722088306, -0.59698949568803
134.81796401904876, -0.6148864379357906
132.4486301369863, -0.6103716359714222
132.4486301369863, -0.6103716359714222
138.40062613910283, -0.6251378064553077
141.11389558469045, -0.6377086186901347
143.86060321006528, -0.657944094724936
146.61925304250693, -0.6914376255768782
146.39473954965018, -0.6772155221373244
148.69242018931155, -0.7098118196179122
150.49808189781882, -0.7254656784372867
151.85949350343935, -0.7400886733831902
153.61022105943914, -0.7593505557597132
154.9238638367923, -0.7770470522542988
156.2661679111059, -0.8013391685319258
156.2661679111059, -0.8013391685319258
158.11959844788055, -0.8208587668768166
159.53833264742195, -0.8363408150506125
160.4865438885296, -0.8517083227940229
162.44984273031926, -0.8743777829745195
164.6710932447528, -0.896054559425007
165.85098330295727, -0.9103052979721571
167.13596478335, -0.9263314131902851
169.0491063554589, -0.9631370714875461
167.3079325651126, -0.9439610944338124
167.3079325651126, -0.9439610944338124
170.29826121465106, -0.9742665833066868
171.40888647186785, -0.9842602358578363
171.53308542536305, -0.9959051796137124
171.53308542536305, -0.9959051796137124
177.4826929860662, -0.9926312323118555
177.4826929860662, -0.9926312323118555
182.34317126227293, -0.9713458023318523
182.34317126227293, -0.9713458023318523
185.11376330178143, -0.9532961395102442
187.13199629607857, -0.9348264951105554
187.82464430595567, -0.9174831649429923
189.5252145922747, -0.9009320727522634
191.08964371803165, -0.8875308423971403
192.47971662061263, -0.8734519144955687
193.58795343641603, -0.8559940438976199
195.94534511141163, -0.8245717858284852
195.17626697630666, -0.8365889859831148
195.17626697630666, -0.8365889859831148
197.7892218825328, -0.811208735616824
200.84165000881887, -0.7847403511618695
200.84165000881887, -0.7847403511618695
204.45536186724675, -0.7762929944209265
208.87875536480686, -0.7858666653939952
211.79265388911753, -0.7997546925782574
215.8530042918455, -0.8245717858284852
215.77896260803107, -0.8163057847689863
215.77896260803107, -0.8163057847689863
218.39908283849726, -0.8530064476717272
216.85614968546065, -0.8460767516333942
216.85614968546065, -0.8460767516333942
221.69274354753367, -0.8622460423895043
224.97207360808986, -0.881278843905256
224.97207360808986, -0.881278843905256
221.69274354753367, -0.8622460423895043
230.54430742548064, -0.8622651324612352
228.92733258862955, -0.8707220342380436
228.92733258862955, -0.8707220342380436
233.36027985184316, -0.8498279507285249
236.83068522546887, -0.8239227233896331
236.83068522546887, -0.8239227233896331
238.60768563701572, -0.8065412130786082
