channel,energy_keV,counts,count_rate_cps
167,411.671720,202,0.002558419353
168,414.148734,180,0.002279779621
169,416.626485,169,0.002140459756
170,419.104972,160,0.002026470774
171,421.584195,193,0.002444430372
172,424.064154,168,0.002127794313
173,426.544849,167,0.002115128871
174,429.026280,187,0.002368437718
175,431.508447,173,0.002191121525
176,433.991350,149,0.001887150909
177,436.474990,153,0.001937812678
178,438.959365,160,0.002026470774
179,441.444476,173,0.002191121525
180,443.930323,142,0.001798492812
181,446.416906,186,0.002355772275
182,448.904226,175,0.00221645241
183,451.392281,145,0.001836489139
184,453.881072,180,0.002279779621
185,456.370600,142,0.001798492812
186,458.860863,154,0.00195047812
187,461.351863,168,0.002127794313
188,463.843598,147,0.001861820024
189,466.336070,124,0.00157051485
190,468.829277,157,0.001988474447
191,471.323221,141,0.00178582737
192,473.817900,125,0.001583180293
193,476.313316,132,0.001671838389
194,478.809468,124,0.00157051485
195,481.306355,142,0.001798492812
196,483.803979,146,0.001849154582
197,486.302339,122,0.001545183966
198,488.801435,152,0.001925147236
199,491.301267,121,0.001532518523
200,493.801834,145,0.001836489139
201,496.303138,112,0.001418529542
202,498.805178,144,0.001823823697
203,501.307954,130,0.001646507504
204,503.811466,110,0.001393198657
205,506.315714,117,0.001481856754
206,508.820698,126,0.001595845735
207,511.326418,131,0.001659172947
208,513.832874,98,0.001241213349
209,516.340067,98,0.001241213349
210,518.847995,123,0.001557849408
211,521.356659,127,0.001608511177
212,523.866059,93,0.001177886138
213,526.376196,99,0.001253878792
214,528.887068,122,0.001545183966
215,531.398676,96,0.001215882465
216,533.911021,117,0.001481856754
217,536.424101,105,0.001329871446
218,538.937917,110,0.001393198657
219,541.452470,106,0.001342536888
220,543.967758,111,0.0014058641
221,546.483783,100,0.001266544234
222,549.000544,108,0.001367867773
223,551.518040,112,0.001418529542
224,554.036273,96,0.001215882465
225,556.555241,107,0.00135520233
226,559.074946,119,0.001507187639
227,561.595387,112,0.001418529542
228,564.116564,100,0.001266544234
229,566.638476,101,0.001279209676
230,569.161125,85,0.001076562599
231,571.684510,111,0.0014058641
232,574.208631,92,0.001165220695
233,576.733488,120,0.001519853081
234,579.259081,79,0.001000569945
235,581.785410,107,0.00135520233
236,584.312475,95,0.001203217022
237,586.840276,77,0.0009752390602
238,589.368813,83,0.001051231714
239,591.898086,80,0.001013235387
240,594.428095,98,0.001241213349
241,596.958840,75,0.0009499081755
242,599.490322,88,0.001114558926
243,602.022539,84,0.001063897157
244,604.555492,81,0.00102590083
245,607.089181,90,0.001139889811
246,609.623607,68,0.0008612500792
247,612.158768,89,0.001127224368
248,614.694666,73,0.0009245772909
249,617.231299,79,0.001000569945
250,619.768668,76,0.0009625736179
251,622.306774,84,0.001063897157
252,624.845616,84,0.001063897157
253,627.385193,78,0.0009879045026
254,629.925507,80,0.001013235387
255,632.466556,68,0.0008612500792
256,635.008342,65,0.0008232537521
257,637.550864,86,0.001089228041
258,640.094121,76,0.0009625736179
259,642.638115,68,0.0008612500792
260,645.182845,62,0.0007852574251
261,647.728311,74,0.0009372427332
262,650.274513,69,0.0008739155215
263,652.821450,65,0.0008232537521
264,655.369124,82,0.001038566272
265,657.917534,51,0.0006459375594
266,660.466680,71,0.0008992464062
267,663.016562,67,0.0008485846368
268,665.567180,48,0.0006079412323
269,668.118534,61,0.0007725919828
270,670.670624,60,0.0007599265404
271,673.223451,67,0.0008485846368
272,675.777013,52,0.0006586030017
273,678.331311,64,0.0008105883098
274,680.886345,53,0.0006712684441
275,683.442115,72,0.0009119118485
276,685.998622,53,0.0006712684441
277,688.555864,59,0.0007472610981
278,691.113842,54,0.0006839338864
279,693.672557,58,0.0007345956558
280,696.232007,50,0.000633272117
281,698.792194,59,0.0007472610981
282,701.353116,57,0.0007219302134
283,703.914775,60,0.0007599265404
284,706.477169,58,0.0007345956558
285,709.040300,62,0.0007852574251
