mae_x_cm,mae_z_cm,mae_radius_cm,median_radius_cm,p90_radius_cm,rmse_radius_cm,bias_x_cm,bias_z_cm,k,metric,normalization,weighting,virtual_quadrants,training_events,reference_events,test_events
1.13008247095785,1.1167324803750085,1.7628568464021566,1.255099003760059,3.371755792627123,2.573229528340297,0.14143570582623383,0.1588023683437828,16,euclidean,l1,inverse2,False,2560,2560,1000
1.1353424292578673,1.1156912737674374,1.777398943138209,1.3054954365379623,3.3946150186902906,2.5431537548455374,0.12704868763526916,0.14211760167991297,24,euclidean,l1,inverse2,False,2560,2560,1000
1.137062910330244,1.1413625198911272,1.785580135609421,1.2412155852723203,3.4385326658927116,2.622222669370085,0.12954664734318272,0.1618834016662266,12,euclidean,l1,inverse2,False,2560,2560,1000
1.1451420654388984,1.1286485691343504,1.7862370296757297,1.2739625425731504,3.4283192718540434,2.58277270133689,0.13839349755312008,0.15421307444959328,16,euclidean,l1,inverse,False,2560,2560,1000
1.1390426674236165,1.1452685213622753,1.7910373456697455,1.2732370399039472,3.3980954990773102,2.619882603187674,0.1239465345268853,0.1575020727905718,12,euclidean,l1,inverse,False,2560,2560,1000
1.1459158603333333,1.1518491649999996,1.80381850459721,1.30305859386097,3.5389980626254443,2.624229010603784,0.1179143336666646,0.1530130583333313,12,euclidean,l1,uniform,False,2560,2560,1000
1.1540260008648575,1.128365588466057,1.8084406814739669,1.3376353496399822,3.5673116490956183,2.5390423578457044,0.11621493692681445,0.13361593332236166,32,euclidean,l1,inverse2,False,2560,2560,1000
1.1563237673319617,1.1692668567069784,1.8196262553856453,1.2733057667363799,3.518266427629746,2.680294086951642,0.13553339293376523,0.17496650257088375,8,euclidean,l1,inverse2,False,2560,2560,1000
1.1561636843043752,1.171420736927478,1.8202586178183295,1.291084498446289,3.553821315787211,2.6785080610127325,0.13115252090426013,0.17257500650025068,8,euclidean,l1,inverse,False,2560,2560,1000
1.157539022,1.1759794200000002,1.8248411460918024,1.2899326948832472,3.5420423648967514,2.6806587828187953,0.12663829199999993,0.17007035,8,euclidean,l1,uniform,False,2560,2560,1000
1.1735683795,1.151091645,1.8305175344138,1.3173250134635075,3.5194148112895567,2.61130161083982,0.13425547949999994,0.14975785000000003,16,euclidean,l1,uniform,False,2560,2560,1000
1.1738508119290145,1.1508840872243322,1.8401953238935194,1.3405942494592185,3.4680235963467116,2.5844606466774747,0.11859693553443644,0.1357762297258728,24,euclidean,l1,inverse,False,2560,2560,1000
1.2087726200385767,1.2138720647710295,1.8887226041203538,1.3616803928787582,3.5915332660274957,2.757077349901167,0.14498794814942698,0.17252141050924052,5,euclidean,l1,inverse2,False,2560,2560,1000
1.2092251031909453,1.2173623704125343,1.8912759640779677,1.3510190054343107,3.5675062345998954,2.75949709634268,0.1437903808033674,0.17081050616994664,5,euclidean,l1,inverse,False,2560,2560,1000
1.212089427,1.222260805,1.8972251487609841,1.3424548376074816,3.597713011687024,2.765065451824295,0.14249766699999994,0.16905472500000002,5,euclidean,l1,uniform,False,2560,2560,1000
1.211682025135839,1.1864542733184147,1.9045254642327787,1.469444775255801,3.745828098239529,2.610649486233122,0.10597683083676693,0.1282464693118967,32,euclidean,l1,inverse,False,2560,2560,1000
1.2296199453333336,1.1999561483333332,1.927671980131913,1.4168648298526745,3.603319092877373,2.6552746520681616,0.10866954199999795,0.12957555833333131,24,euclidean,l1,uniform,False,2560,2560,1000
1.2625111600844947,1.264922661685669,1.964588709901155,1.4283433081208259,3.715587780943384,2.850888649774606,0.152800037495256,0.17766203166793246,3,euclidean,l1,inverse2,False,2560,2560,1000
1.2651027023372268,1.270283276762369,1.9693401414792349,1.4187343980567029,3.711022886398804,2.8582452091089303,0.15220690923836155,0.1763562522273474,3,euclidean,l1,inverse,False,2560,2560,1000
1.2688834670000002,1.2771515983333332,1.9767550315790199,1.4295050862889793,3.6833175198307067,2.8702821962667064,0.151247666999999,0.17488805833333237,3,euclidean,l1,uniform,False,2560,2560,1000
1.28721148075,1.25737299875,2.0231184007175607,1.5743011862321068,3.9814910499817797,2.718944291951488,0.09568126074999994,0.12387894375000003,32,euclidean,l1,uniform,False,2560,2560,1000
1.4454728270000001,1.455887145,2.2633501588882527,1.617637783299759,4.435992708426993,3.2372328832464765,0.16062266699999994,0.21030472500000003,1,euclidean,l1,uniform,False,2560,2560,1000
1.4454728270000001,1.455887145,2.2633501588882527,1.617637783299759,4.435992708426993,3.2372328832464765,0.16062266699999994,0.21030472500000003,1,euclidean,l1,inverse,False,2560,2560,1000
1.4454728270000001,1.455887145,2.2633501588882527,1.617637783299759,4.435992708426993,3.2372328832464765,0.16062266699999994,0.21030472500000003,1,euclidean,l1,inverse2,False,2560,2560,1000
