mae_x_cm,mae_z_cm,mae_radius_cm,median_radius_cm,p90_radius_cm,rmse_radius_cm,bias_x_cm,bias_z_cm,k,metric,normalization,weighting,virtual_quadrants,training_events,reference_events,test_events
1.1201820312773876,1.1085662477852032,1.750379927467916,1.2272922929277927,3.371755792627123,2.568123444532736,0.12103483120612926,0.1393733400796416,16,euclidean,l1,inverse2,True,2560,10240,1000
1.1215919544165385,1.1048745040656496,1.7616040145117786,1.2638572830082473,3.3946150186902906,2.535769734111955,0.10206304369859556,0.12239996293863584,24,euclidean,l1,inverse2,True,2560,10240,1000
1.1346152904839324,1.1195077555808852,1.772665247684754,1.2568233938487954,3.4283192718540434,2.5770299795576936,0.11724098629902849,0.13405145237506422,16,euclidean,l1,inverse,True,2560,10240,1000
1.1307339491576063,1.1370461713271829,1.778068107863442,1.2276079133915125,3.4465314450106037,2.620282363968719,0.11144970383129049,0.14398547135279174,12,euclidean,l1,inverse2,True,2560,10240,1000
1.1326588365635588,1.1397674728512843,1.7830529775541617,1.2519426129112519,3.404902617266114,2.617713266460631,0.10558928204397702,0.13916958307792152,12,euclidean,l1,inverse,True,2560,10240,1000
1.1333497894303395,1.1126055318175136,1.7833680813560158,1.279013441585694,3.5673116490956183,2.526733305172,0.08532167407494004,0.11533670130378974,32,euclidean,l1,inverse2,True,2560,10240,1000
1.139160667,1.1451750296666665,1.7953424109017941,1.285229626379885,3.539769753698514,2.621832280758601,0.09942475033333124,0.1342630583333313,12,euclidean,l1,uniform,True,2560,10240,1000
1.1495166467298656,1.167599103310794,1.8134894858911865,1.2684530578944913,3.5548793611680556,2.6799149212445417,0.11787376381219668,0.1570512448149709,8,euclidean,l1,inverse2,True,2560,10240,1000
1.1491889138770568,1.1692946448372876,1.8137852441284124,1.2706169088406882,3.5599392623905186,2.6780315078590347,0.1131160818211485,0.1540569140925946,8,euclidean,l1,inverse,True,2560,10240,1000
1.1622544075,1.1411528815,1.815913864073499,1.2977489715544048,3.5194148112895567,2.6049186020642003,0.11238047949999994,0.12885941250000002,16,euclidean,l1,uniform,True,2560,10240,1000
1.150058339,1.173179743,1.8179984216246867,1.2710724635944706,3.553559714877876,2.6800381630148564,0.10827891699999993,0.15092972500000001,8,euclidean,l1,uniform,True,2560,10240,1000
1.1585068774513896,1.1387613571969541,1.8222246533174402,1.3179590680476232,3.4680235963467116,2.575891781872011,0.09165928697631778,0.11553483161141233,24,euclidean,l1,inverse,True,2560,10240,1000
1.1862559394440346,1.1669767533905204,1.873030225734985,1.4178050756754246,3.745828098239529,2.594800051011638,0.07060621300060808,0.11006201515036049,32,euclidean,l1,inverse,True,2560,10240,1000
1.2039157203368402,1.2137458939954346,1.885561973687909,1.3490374604841393,3.596602201478772,2.757140761275017,0.12775026942011372,0.15892954194962394,5,euclidean,l1,inverse2,True,2560,10240,1000
1.204690926116326,1.2171433491272177,1.8883787092394182,1.3441306462098723,3.5675062345998936,2.759831946675881,0.12609785190373837,0.15715428772310816,5,euclidean,l1,inverse,True,2560,10240,1000
1.207914489,1.2219844629999999,1.8945770589015571,1.3343666958036926,3.6143473818581975,2.765648591040137,0.12437266699999995,0.15530472500000003,5,euclidean,l1,uniform,True,2560,10240,1000
1.2117120776666668,1.1866024383333333,1.9073334856176034,1.3852841091628665,3.629021136281899,2.645370753773638,0.0796330836666646,0.10900264166666465,24,euclidean,l1,uniform,True,2560,10240,1000
1.2584432249615527,1.2611160853912524,1.9598420235798442,1.4187343980567002,3.7253669039127866,2.84994398066622,0.13940362025958603,0.16474827613484633,3,euclidean,l1,inverse2,True,2560,10240,1000
1.2611500840310625,1.2664509742940286,1.9645077083781324,1.413884267793198,3.714810418212579,2.8573051821562427,0.13873308908449128,0.1636430495141069,3,euclidean,l1,inverse,True,2560,10240,1000
1.2650454623333334,1.2732746849999999,1.9718495471398676,1.4185519744916253,3.715865944371406,2.8693491539817226,0.13770600033333233,0.16238805833333236,3,euclidean,l1,uniform,True,2560,10240,1000
1.256563188,1.2338335307500001,1.9842491429497566,1.5226008290751203,3.9705198378848765,2.698679360165022,0.05534922949999994,0.10610550625000001,32,euclidean,l1,uniform,True,2560,10240,1000
1.4444688390000002,1.4571031309999998,2.2635695736755954,1.6250401035168207,4.435992708426993,3.236777310709264,0.14812266699999996,0.19467972500000003,1,euclidean,l1,uniform,True,2560,10240,1000
1.4444688390000002,1.4571031309999998,2.2635695736755954,1.6250401035168207,4.435992708426993,3.236777310709264,0.14812266699999996,0.19467972500000003,1,euclidean,l1,inverse,True,2560,10240,1000
1.4444688390000002,1.4571031309999998,2.2635695736755954,1.6250401035168207,4.435992708426993,3.236777310709264,0.14812266699999996,0.19467972500000003,1,euclidean,l1,inverse2,True,2560,10240,1000
