mae_x_cm,mae_z_cm,mae_radius_cm,median_radius_cm,p90_radius_cm,rmse_radius_cm,bias_x_cm,bias_z_cm,k,metric,normalization,weighting,virtual_quadrants,training_events,reference_events,test_events
0.9615123342256257,1.0932178417056244,1.620185790831887,1.4197305664843132,2.864670441999449,2.0084259646735596,0.04291771569293728,-0.018914711893541263,24,euclidean,log1p,inverse2,True,2560,10240,1000
0.9669558674967904,1.0989985873777968,1.6294447042643796,1.425642488966896,2.875613550216409,2.0171938828198615,0.037743499689224365,-0.02095834661644896,24,euclidean,log1p,inverse,True,2560,10240,1000
0.9744858137457993,1.0950551670998514,1.635587852854909,1.4266310306978798,2.882285589736192,2.0417718601960035,0.02567430961615758,-0.04329890005519633,32,euclidean,log1p,inverse2,True,2560,10240,1000
0.9732731296666663,1.105360901666667,1.639493513844082,1.4294848305766727,2.9448289669888847,2.0272953245198915,0.03301850033333132,-0.02302860833333537,24,euclidean,log1p,uniform,True,2560,10240,1000
0.980932701057891,1.1025458324622224,1.6486572204399705,1.4290369849771312,2.9252974397166684,2.066595342112986,0.020628116102187503,-0.046604541794150495,32,euclidean,log1p,inverse,True,2560,10240,1000
0.9766760839114557,1.1178890347817925,1.6525241427790465,1.4545734465705813,2.910171744984774,2.1096002441024204,0.07071115469033913,-0.00541149571622401,16,euclidean,log1p,inverse2,True,2560,10240,1000
0.9804772570256561,1.1249310481653971,1.6607194203941644,1.4627159095327311,2.9026329411641187,2.1137933451883226,0.06578922393740606,-0.006969168922578874,16,euclidean,log1p,inverse,True,2560,10240,1000
0.9876271399999998,1.10993727,1.6621832453858365,1.429470328826418,2.954885267348244,2.0928187760263217,0.01609141699999996,-0.04985152499999999,32,euclidean,log1p,uniform,True,2560,10240,1000
0.9848409514999998,1.1323068665,1.6699700092054923,1.468261988240883,2.9033050536045644,2.118933916275864,0.06120860449999995,-0.00864058749999997,16,euclidean,log1p,uniform,True,2560,10240,1000
1.026804227848377,1.1342417478351532,1.703748564556302,1.4953836673125682,2.96161969241855,2.218772786381288,0.08893624733438477,0.020189725879830273,12,euclidean,log1p,inverse2,True,2560,10240,1000
1.0320105574452516,1.1387861385711848,1.7113562800404694,1.502777543809206,2.9744723781059754,2.227174409714964,0.08454027888815085,0.020506650002468277,12,euclidean,log1p,inverse,True,2560,10240,1000
1.037760208333333,1.1447068016666666,1.72023797829301,1.511581512147628,2.977772401024258,2.2369349979746755,0.08041433366666471,0.020721391666664847,12,euclidean,log1p,uniform,True,2560,10240,1000
1.0746724882966383,1.1691275409025081,1.7762784969551964,1.5770525865287814,2.9734360659074355,2.2852671083199625,0.1233722568894635,0.03291899382214763,8,euclidean,log1p,inverse2,True,2560,10240,1000
1.07780155454479,1.1732420439289448,1.7835072747565082,1.589832448596519,2.984106854377569,2.2915108247908154,0.12115650809182452,0.033364379514967485,8,euclidean,log1p,inverse,True,2560,10240,1000
