feature_group,n_features,k,normalization,weighting,mean_err_r_cm,median_err_r_cm,p68_err_r_cm,p90_err_r_cm,p95_err_r_cm,sigma_err_x_cm,sigma_err_z_cm
all,32,8,sqrt_l1,inverse2,1.7473745881605536,1.4839404614959526,1.9699140032029168,3.3839662978933904,4.108194717865683,1.586279321281255,1.4299143745903538
face,16,5,sqrt_l1,inverse2,2.61997040333322,1.8926623491985235,2.7410651979776315,5.826224997070087,7.376316874894345,2.367185085606518,2.4962937845009727
fiber,16,16,l1,inverse2,3.970676690077733,3.3413300004758577,4.610376907379598,7.422612613898946,9.168030121444469,3.3773111079890112,3.347041072502624
