mean_err_r_cm,median_err_r_cm,p68_err_r_cm,p90_err_r_cm,p95_err_r_cm,rmse_err_r_cm,mean_err_x_cm,sigma_err_x_cm,mean_err_z_cm,sigma_err_z_cm,feature_group,n_features,k,metric,normalization,weighting,training_events,training_positions,test_events
1.7473745881605536,1.4839404614959526,1.9699140032029168,3.3839662978933904,4.108194717865683,2.134974658473096,-0.022300625869760192,1.586279321281255,-0.035259152390179425,1.4299143745903538,all,32,8,euclidean,sqrt_l1,inverse2,2560,256,1000
1.7565019306482288,1.482482436829852,1.9787004907760977,3.4179198211708943,4.131366454924296,2.144856635756049,-0.023072345072422517,1.591376302824727,-0.03418940271479764,1.4390390941323163,all,32,8,euclidean,sqrt_l1,inverse,2560,256,1000
1.7527833448884291,1.4639792584892224,1.9798335012975163,3.4648974907909227,4.225648678570694,2.14482486227594,-0.012131447677096278,1.6082417144623664,-0.018028863430055986,1.4205507634873922,all,32,12,euclidean,sqrt_l1,inverse2,2560,256,1000
1.8189240974220724,1.4600854762955815,1.9907600328781332,3.548686329886171,4.729045954131586,2.2746518894768917,0.09644857257184873,1.6841836779118782,0.07280314333590962,1.5258206105967842,all,32,8,euclidean,l1,inverse,2560,256,1000
1.7668094108757781,1.4969677501206278,1.9960073048647373,3.4685866405627617,4.14399715206808,2.1563033691178917,-0.02375233300000005,1.5976121119485007,-0.03305464999999999,1.4492327681540993,all,32,8,euclidean,sqrt_l1,uniform,2560,256,1000
1.7650555590505415,1.4838728816276807,1.9963958688386911,3.4939966905965947,4.231286063097213,2.1590150070110883,-0.011481494418923674,1.6179761251608105,-0.016079710876855346,1.4310046464398518,all,32,12,euclidean,sqrt_l1,inverse,2560,256,1000
1.8045590348800398,1.4601168433904812,2.010128594008574,3.6092557283186486,4.668769760287817,2.2556178394021167,0.09128867173015301,1.671742379531356,0.06776664714467287,1.5117021134203883,all,32,8,euclidean,l1,inverse2,2560,256,1000
1.7782316319843439,1.4894497865869256,2.012652433952367,3.5174959776669494,4.271303073407565,2.174118711882681,-0.010731499666668608,1.6283820192712863,-0.014174441666668513,1.4420746513587621,all,32,12,euclidean,sqrt_l1,uniform,2560,256,1000
1.8379227496208959,1.4493456560448963,2.0143238298972883,3.6233082090010944,4.815143374289006,2.2988265069644327,0.10124766699999994,1.7004444569944432,0.077492225,1.5434083852259206,all,32,8,euclidean,l1,uniform,2560,256,1000
1.8060059854538517,1.4759086177645824,2.0200569907794965,3.520336673996872,4.395137146628467,2.2479828726331244,0.11443858196122245,1.6629030900201192,0.07312940146826571,1.5082361331612448,all,32,12,euclidean,l1,inverse2,2560,256,1000
1.834853930202804,1.4861120592977621,2.02731255210405,3.5410172616445235,4.325298386880223,2.2766036818576203,0.08385937846076277,1.6799272751164394,0.05286856797097532,1.5349656246479697,all,32,5,euclidean,l1,inverse2,2560,256,1000
1.8178562577150184,1.4790431092126992,2.041402785703102,3.634198486152728,4.377427699478438,2.25821942934414,0.1187571523641605,1.6829845644857473,0.08393500011382644,1.5003509894101659,all,32,16,euclidean,l1,inverse2,2560,256,1000
1.8292198758312137,1.479887594572284,2.0439760279183985,3.603918838485559,4.445096536637395,2.273680193204019,0.1229364785983758,1.6822123987604063,0.07786711955219269,1.5243884015896167,all,32,12,euclidean,l1,inverse,2560,256,1000
1.843117905516005,1.4867755578804247,2.051174834962553,3.551406211363643,4.351358264047853,2.286958051688749,0.08650660592624036,1.6857614154870344,0.056134500138896634,1.5436890466305253,all,32,5,euclidean,l1,inverse,2560,256,1000
1.7879043498035516,1.5002608380474343,2.0555944813826033,3.550327031352607,4.37357306580198,2.1772915657944143,-0.017528699999516315,1.6453970572453185,0.011392727735606414,1.4274364936270674,all,32,24,euclidean,sqrt_l1,inverse2,2560,256,1000
1.7613341161455132,1.4844471270671948,2.056667626645482,3.4652538416133027,4.262641794805172,2.14863434790131,-0.019171884830432376,1.6192400950446821,-0.017970245101799412,1.413725979224312,all,32,16,euclidean,sqrt_l1,inverse2,2560,256,1000
1.8375608157405536,1.5294126758173603,2.0577159603844764,3.3693618089800763,4.51110344162363,2.2480996225679135,-0.041793010742027285,1.6816547442609473,-0.0680466347230515,1.491531046070082,all,32,5,euclidean,sqrt_l1,inverse2,2560,256,1000
1.844222123648635,1.5336292106901213,2.0646894720891944,3.37849018736999,4.52813225011831,2.2556946721409936,-0.04432317476517642,1.6853727938159053,-0.06864346264533785,1.4986951322930637,all,32,5,euclidean,sqrt_l1,inverse,2560,256,1000
1.8558136025946927,1.489382178737897,2.0655715372757846,3.582455483494537,4.396523082607758,2.303049707805347,0.08874766699999995,1.6958799692337019,0.059054725,1.5562658673733818,all,32,5,euclidean,l1,uniform,2560,256,1000
1.7753100694230666,1.492712139027803,2.072019317585013,3.5036764191830754,4.348418359848447,2.164422470740803,-0.0191385505207245,1.6308089929232792,-0.01637391868612439,1.4245143207917033,all,32,16,euclidean,sqrt_l1,inverse,2560,256,1000
1.8521857158870907,1.5302215071244016,2.0791603140709074,3.41092498524392,4.549287580372448,2.2651867699755566,-0.04687733300000005,1.6903694671320277,-0.06907027499999999,1.507276753741692,all,32,5,euclidean,sqrt_l1,uniform,2560,256,1000
1.8509981039880392,1.5329593751169623,2.084783669387775,3.6275731660114103,4.460481806907889,2.2935303737765684,0.12737502304064233,1.7109046277083817,0.09156756912231853,1.521091327825142,all,32,16,euclidean,l1,inverse,2560,256,1000
1.7897241625051705,1.4946805882882908,2.0903269888778007,3.5158580567524864,4.376776430831109,2.1807766432210314,-0.019064833000000052,1.6428392701143526,-0.014890587499999981,1.435632496242271,all,32,16,euclidean,sqrt_l1,uniform,2560,256,1000
1.8243786867072072,1.538422850521617,2.0903689281076647,3.59815619768943,4.40052231729142,2.2179337252300666,-0.016460666333335396,1.674583212960696,0.018247433333331346,1.455788686472234,all,32,24,euclidean,sqrt_l1,uniform,2560,256,1000
