library,n_events,mean_radial_err_cm,median_radial_err_cm,p68_radial_err_cm,p95_radial_err_cm,mean_err_x_cm,sigma_err_x_cm,mean_err_z_cm,sigma_err_z_cm
1024 positions x 10 events,1000.0,2.579741404381157,2.245941459681677,2.9892911789930765,5.5951548613301565,0.05204244920880467,2.0948144315907307,0.08987723977044687,2.2081495635226362
10000 positions x 1 event,1000.0,2.5417251439831436,2.257589509805879,2.9520276429065784,5.500840191370585,0.06715733009950213,2.0275688392282563,0.061428020230947115,2.225554900295112
