dataset,method,n_events,mean_err_x_cm,sigma_err_x_cm,mean_err_z_cm,sigma_err_z_cm,median_err_r_cm,p68_err_r_cm,p95_err_r_cm
training,all_32_2d_centroid,10240,25.519826376142028,21.594465925466473,25.522471927127363,21.576147885046538,40.43849017289353,55.37395549491201,77.95149290889036
training,projection_centroid,10240,-0.0007408283307184683,8.159703931670082,0.00697835855821829,8.11391328286734,9.195836862644143,11.848478387795561,20.661631146221517
test,all_32_2d_centroid,1000,25.381582442178363,22.12213290108139,24.877609399677976,21.908885665758746,39.843216431217336,55.28055266311869,79.33881661282264
test,projection_centroid,1000,-0.24334273888111224,8.703473625699939,-0.06313274971938176,8.551792885810025,9.624156022095024,12.657980350773451,22.041364538401467
