method,n_events,mean_radial_err_cm,median_radial_err_cm,p68_radial_err_cm,p95_radial_err_cm,mean_err_x_cm,sigma_err_x_cm,mean_err_z_cm,sigma_err_z_cm
kNN,1000.0,2.579741404381157,2.245941459681677,2.9892911789930765,5.5951548613301565,0.05204244920880467,2.0948144315907307,0.08987723977044687,2.2081495635226362
projection centroid,1000.0,10.613940197636833,9.624156022095024,12.657980350773451,22.041364538401467,-0.24334273888111216,8.703473625699939,-0.06313274971938176,8.551792885810025
