333.28,416.72
333.28,410.72
333.28,400.72
333.28,390.72
333.28,380.72
333.28,370.72
333.28,360.72
333.28,350.72
333.28,340.72
333.28,330.72
333.28,320.72
333.28,310.72
333.28,300.72
333.28,290.72
333.28,280.72
333.28,270.72
333.28,260.72
333.28,250.72
333.28,240.72
333.28,230.72
333.28,220.72
333.28,210.72
333.28,200.72
333.28,190.72
333.28,180.72
333.28,170.72
333.28,160.72
333.28,150.72
333.28,140.72
333.28,130.72
333.28,120.72
333.28,110.72
333.28,100.72
416.72,333.28
166.72,416.72
83.28,333.28
166.72,83.28
83.28,166.72
333.28,83.28
416.72,166.72
