dataset,method,n_events,mean_err_x_cm,sigma_err_x_cm,mean_err_z_cm,sigma_err_z_cm,median_err_r_cm,p68_err_r_cm,p95_err_r_cm
training,all_32_2d_centroid,10240,21.96026115612774,16.22266887520169,22.057520201598685,16.35552782514782,27.421995599630154,39.66097322252243,74.9612562814544
training,projection_centroid,10240,0.008895349059819785,13.901535967459854,-0.03843277527660845,13.966449043205273,13.262571157683286,19.249020567142523,38.82595277796257
test,all_32_2d_centroid,1000,21.305513528039164,16.60489189785029,21.515348418275238,16.78411529524738,27.089632018974676,37.97509221799742,77.82431489366074
test,projection_centroid,1000,-0.1541102346794296,14.981272375379596,-0.6306425948790534,14.945529084486703,13.468987430648285,20.450621849804076,42.97702031854988
