method,mean_radial_err_cm,median_radial_err_cm,p68_radial_err_cm,p95_radial_err_cm,mean_err_x_cm,sigma_err_x_cm,mean_err_z_cm,sigma_err_z_cm
kNN event library,4.300406509997021,2.8673724286990243,4.399305272853707,13.730186166916576,-0.2211922269273221,4.125898588498083,-0.06883696766232972,4.383615233954431
Projection centroid,16.243998013966213,12.964484719521256,19.094342695919547,41.49776242560289,-0.08099647581112135,14.218465854656579,-0.6983412997285239,14.557627363090276
