method,n_events,mean_radial_err_cm,median_radial_err_cm,p68_radial_err_cm,p95_radial_err_cm,mean_err_x_cm,sigma_err_x_cm,mean_err_z_cm,sigma_err_z_cm
kNN events,1000.0,4.300406509997021,2.8673724286990243,4.399305272853707,13.730186166916576,-0.2211922269273221,4.125898588498083,-0.06883696766232972,4.383615233954431
Random forest,1000.0,4.294071806532711,2.936789449666441,4.49355005462353,13.05119328574813,-0.04241424733999966,4.09524911741827,0.06155294190333766,4.4848989296299795
Gradient boosting,1000.0,4.707152686633817,3.45151441576749,4.987984315951619,13.298503848925037,0.11875118354367449,4.315767437542039,0.16458360117760618,4.656621461993438
Projection centroid,1000.0,16.243998013966213,12.964484719521256,19.094342695919547,41.49776242560289,-0.08099647581112135,14.218465854656579,-0.6983412997285239,14.557627363090276
