model,n_events,mean_err_x_cm,sigma_err_x_cm,mean_err_z_cm,sigma_err_z_cm,median_err_r_cm,p68_err_r_cm,p95_err_r_cm
hgb_raw_depth6_l2_0,1000,0.11875118354367441,4.315767437542039,0.164583601177606,4.656621461993438,3.451514415767492,4.987984315951624,13.298503848925039
hgb_raw_slow_leaf10,1000,0.09044741154054389,4.308199800171552,0.16733150403360603,4.640909278747871,3.4709192270501195,4.998597895831628,13.50913061085537
hgb_raw_depth6_l2_0p1,1000,0.12257006020872373,4.315499889665863,0.18753531293639158,4.659563699642989,3.4897853650459294,5.0118402186045605,13.240098158521405
hgb_log_depth6_l2_0p1,1000,0.12257006020872373,4.315499889665863,0.18723483330592325,4.659552689936334,3.4897853650459294,5.0118402186045605,13.240098158521405
