dataset,method,n_events,mean_err_x_cm,sigma_err_x_cm,mean_err_z_cm,sigma_err_z_cm,median_err_r_cm,p68_err_r_cm,p95_err_r_cm
training,all_32_2d_centroid,102400,21.759968342866376,16.203746258296047,21.88116294530199,16.374457384005545,27.409971173485367,39.49720811056387,74.75306439459554
training,projection_centroid,102400,0.007908663457430371,13.462301353683763,-0.007393656923749176,13.622903662010923,12.421504922330858,18.279027903787828,38.33224593201395
test,all_32_2d_centroid,1000,21.14189287958067,16.592359290439102,21.28555994636359,16.719082639585135,26.682694309015538,38.036050012024944,75.3017898896967
test,projection_centroid,1000,-0.08099647581112128,14.218465854656579,-0.6983412997285239,14.557627363090276,12.964484719521252,19.094342695919547,41.49776242560289
