model,n_events,mean_err_x_cm,sigma_err_x_cm,mean_err_z_cm,sigma_err_z_cm,median_err_r_cm,p68_err_r_cm,p95_err_r_cm
rf_raw_leaf1,1000,-0.04241424733999968,4.09524911741827,0.06155294190333759,4.4848989296299795,2.936789449666441,4.49355005462353,13.05119328574813
rf_raw_leaf3,1000,-0.00728796859784492,4.112303576345717,0.08336344198572455,4.498838324041026,2.930212065615584,4.540626186180436,12.73294433173346
rf_log_leaf3,1000,0.006516776707578103,4.106626322616757,0.09666492996073205,4.494673836005754,2.9198102508006087,4.540700706280455,12.756597265345631
rf_log_leaf5_sqrt_features,1000,0.006365334934302151,4.27046591301196,0.14082756889894238,4.683406877771781,3.1992347354334902,4.950142468184682,13.152888261068489
