training_sample,n_test_events,mean_radial_err_cm,median_radial_err_cm,p68_radial_err_cm,p95_radial_err_cm,mean_err_x_cm,sigma_err_x_cm,mean_err_z_cm,sigma_err_z_cm,best_k,metric,normalization,weighting
100 events/run,1000,4.300406509997021,2.8673724286990243,4.399305272853701,13.730186166916575,-0.22119222692732216,4.125898588498083,-0.06883696766232973,4.383615233954431,48,euclidean,none,inverse2
10 events/run,1000,4.477743793354435,3.170359994370923,4.752447708197789,13.101023202585134,-0.34479894840442826,4.178240749259998,-0.27689844199965624,4.446793429470278,24,euclidean,none,inverse2
