dataset,method,n_events,mean_err_x_cm,sigma_err_x_cm,mean_err_z_cm,sigma_err_z_cm,median_err_r_cm,p68_err_r_cm,p95_err_r_cm
training,all_32_2d_centroid,10240,25.512785570608354,21.493112005498688,25.54105509968103,21.514722381018228,40.55151943219175,55.14949685554442,77.85662934739808
training,projection_centroid,10240,0.0211432604199815,7.663590198327553,0.028872818236731445,7.6754249936156915,8.4841165202701,11.06337502296315,19.753200133081577
test,all_32_2d_centroid,1000,25.50490667529361,22.040599985736733,24.8149001515885,21.975897961591176,39.90728995611615,55.46183140960251,79.00192147586202
test,projection_centroid,1000,-0.0828470858724132,8.234709603353945,-0.0413469247861922,8.332103809876472,9.173786017383136,11.723719211748291,21.46828981460463
