method,n_events,mean_radial_err_cm,median_radial_err_cm,p68_radial_err_cm,p95_radial_err_cm,mean_err_x_cm,sigma_err_x_cm,mean_err_z_cm,sigma_err_z_cm
kNN,1000.0,2.703854227950248,2.349028942409258,3.1145862177011283,6.235042783249857,0.035134644190961635,2.257769623340159,0.08438672347207467,2.350190879817819
projection centroid,1000.0,10.130554133151604,9.173786017383133,11.723719211748291,21.468289814604635,-0.08284708587241324,8.234709603353945,-0.041346924786192174,8.332103809876472
